PC1,PC2,PC3,PC4,PC5
-0.20044921,0.79142725,0.78496057,-0.58412933,-0.24359936
-0.10357173,0.7339126,0.7676753,-0.5887577,-0.2948988
0.1316905,0.62386096,0.73309684,-0.5899899,-0.3405574
0.37364173,0.49632275,0.5981123,-0.6064302,-0.32920998
0.42663586,0.4430586,0.48497283,-0.6117335,-0.18991005
-0.4560808,0.8507396,1.3791704,-0.38394737,-0.4782138
-0.1877024,0.66317403,1.5168595,-0.61828923,-0.5002004
-0.100590676,0.5997635,1.039409,-0.65438354,-0.42465335
-0.22897743,0.8108345,0.9196322,-0.49462983,-0.22706759
-0.04076817,0.7774869,0.883535,-0.46402335,-0.2536956
0.0055753477,0.74685013,0.87145483,-0.47037745,-0.25754052
0.07388213,0.7437264,0.80662286,-0.44811177,-0.25859863
-0.015787601,0.82914317,0.7659099,-0.40966266,-0.22804856
0.060364943,0.82225335,0.76361525,-0.39365208,-0.23064429
0.11386897,0.81319344,0.7667875,-0.38126093,-0.2293837
0.1652091,0.7939726,0.77972037,-0.37750524,-0.19550788
0.2406867,0.7659546,0.78270364,-0.36755997,-0.20526648
0.33544272,0.72586596,0.7767178,-0.36209875,-0.1748594
0.44406062,0.6826898,0.75117517,-0.34849352,-0.15238917
0.495305,0.6430632,0.7370659,-0.34779656,-0.0046103
0.32847667,0.6011449,0.861915,-0.41096574,0.52682996
-0.8009488,0.8977145,1.0886123,-0.5024581,-0.18422496
-0.69648975,0.87022364,1.1147552,-0.5833375,-0.23694521
-0.57470673,0.7639781,1.0509193,-0.6838043,-0.148862
-0.3753131,0.6598121,0.93397486,-0.7324454,-0.110213995
-0.07223106,0.5270802,0.79446685,-0.76158285,-0.05667281
0.23122399,0.39992154,0.6535262,-0.7669703,-0.04427457
0.50032544,0.30398715,0.5041505,-0.7458024,-0.06390929
0.79224545,0.22318614,0.33549404,-0.67715454,-0.03373289
0.8557477,0.24344313,0.20174372,-0.5594265,0.22923541
-0.6236921,0.8308848,1.0685184,-0.58079916,-0.0037020445
-0.5562436,0.8183867,1.0405041,-0.63811874,-0.09996295
-0.52780205,0.77147806,0.99281967,-0.69643754,-0.09025812
-0.47778624,0.72899735,0.942605,-0.7309965,-0.05282688
-0.4480874,0.69494927,0.8917236,-0.7517994,-0.027738452
-0.41299766,0.6626915,0.833699,-0.7644594,0.01003921
-0.40768486,0.631652,0.7939421,-0.78124654,0.064994335
-0.43602127,0.60875475,0.79765326,-0.80971277,0.18073392
-0.4115708,0.5779389,0.8051903,-0.822775,0.28461897
-0.36047447,0.5279366,0.800995,-0.8398478,0.39098835
-0.36235756,0.47912848,0.8171401,-0.8546303,0.50696564
-0.4355412,0.6083013,0.921494,-0.7658091,0.37235725
-0.45157,0.70028794,0.9329936,-0.71134734,0.20558465
-0.4844407,0.7769071,0.9229937,-0.6792613,0.07330537
-0.5014435,0.8009645,0.90910965,-0.67630976,0.010652661
-0.4957665,0.8122424,0.8934337,-0.6667008,-0.055494666
-0.49998635,0.8218337,0.8712078,-0.6634207,-0.08186746
-0.53440857,0.81854165,0.85714626,-0.6802066,-0.07774234
-0.54411477,0.81986415,0.8446877,-0.68490964,-0.022006989
-0.5265423,0.811828,0.84292185,-0.6881875,0.011013389
-0.49199662,0.8017975,0.8187736,-0.68110496,-0.012721539
-0.42587996,0.79387486,0.77542627,-0.6593393,-0.061980844
-0.3047536,0.78840506,0.7074653,-0.61233646,-0.21837103
-0.21661514,0.75225055,0.6821209,-0.6014875,-0.30154765
-0.060073167,0.6807984,0.66336584,-0.59491634,-0.36109054
0.24564277,0.5456773,0.59734166,-0.5956478,-0.39813203
0.40027153,0.4697634,0.49366426,-0.6076828,-0.32303947
0.27457005,0.46382725,0.48964268,-0.604135,0.09776783
-0.61118394,0.84157956,1.3429389,-0.42218375,-0.46171993
-0.34774995,0.664358,1.471169,-0.65977985,-0.5138832
-0.17899899,0.57977927,0.9595313,-0.6955534,-0.4203294
-0.21634606,0.7720109,0.86936116,-0.5154664,-0.22684467
-0.05242599,0.76918304,0.8551259,-0.47331613,-0.15519524
0.05650172,0.72651327,0.8241659,-0.46868873,-0.2065829
0.096363515,0.76189196,0.74204135,-0.42278528,-0.27337062
-0.0037469547,0.8339497,0.71675074,-0.39143527,-0.22674501
0.06018849,0.8243028,0.7166642,-0.3788824,-0.21346426
0.109060496,0.8142477,0.7152893,-0.3668542,-0.21047068
0.16083397,0.79463685,0.72636604,-0.36453485,-0.18783057
0.23006295,0.76845634,0.73010606,-0.35602522,-0.18736827
0.33240792,0.7289854,0.71958196,-0.34571368,-0.18165874
0.45045108,0.6817547,0.7003434,-0.3341906,-0.16003203
0.54924315,0.6464931,0.66801965,-0.31366593,-0.08805716
0.51890033,0.617767,0.70179284,-0.32136977,0.20705235
-0.8694946,0.9110857,1.0147251,-0.52644277,-0.21905327
-0.8353652,0.8762814,1.0095756,-0.62575245,-0.20873821
-0.7321488,0.802297,0.9471307,-0.7069601,-0.18055522
-0.5483896,0.71444094,0.8591504,-0.75298476,-0.17974567
-0.3292707,0.6196872,0.7634165,-0.78011596,-0.15529573
-0.0887942,0.522158,0.6679167,-0.7877529,-0.15748882
0.23803996,0.38359725,0.5698408,-0.8003856,-0.1602422
0.58423126,0.25629866,0.42025065,-0.76857775,-0.197595
0.8428717,0.20402133,0.21913385,-0.6846434,-0.10211575
